",""traitmDR:traitmDR.animal"",""traitfDR:traitmDR.animal"",""traitmDR:traitfDR.animal"",""traitfDR:traitfDR.animal"",""traitmDR:traitmDR.round.sec"",""traitfDR:traitmDR.round.sec"",""traitmDR:traitfDR.round.sec"",""traitfDR:traitfDR.round.sec"",""traitmDR.units"",""traitfDR.units"""
1,0.173281013965373,-1.08064214220059,-1.08064214220059,6.26051644194751,0.00288739373807127,0.00082914193625977,0.00082914193625977,0.00430315264332162,3.12076951890712,17.9237398056773
2,0.00598729705122874,-0.00349265568065393,-0.00349265568065393,0.0134712535592558,0.00745708168169172,0.00137854989121619,0.00137854989121619,0.0160243638805881,3.20058862160388,23.9535777394366
3,0.00352208815363436,0.00177963271302894,0.00177963271302894,0.0445323550048157,0.00302041854338261,-0.0025453671832682,-0.0025453671832682,0.00589341169481669,3.07817605258329,23.4446837056247
4,0.00553594105212206,0.0371849911554138,0.0371849911554138,0.0619688347070393,0.00761013743649432,0.000107942307111697,0.000107942307111697,0.00826949826852426,3.15927150978095,22.5142253568484
5,0.00925431702832879,-0.0872267775897806,-0.0872267775897806,0.0195706181653007,0.00268226696802725,-0.00258873939059592,-0.00258873939059592,0.00621801070357626,3.19216307839331,26.3482026603985
6,0.00409837175620314,0.00277079375217471,0.00277079375217471,0.00684796471421989,0.00183055777756201,-0.000124561576743204,-0.000124561576743204,0.00410583771721202,3.32906133906637,24.7880802965534
7,0.0221900868447245,-0.000136102898889212,-0.000136102898889212,0.0199689992631956,0.00234680903315136,-0.00270674884247735,-0.00270674884247735,0.00521383025032694,3.13592865232593,24.4314399218779
8,0.00468483582336044,0.00359229940132288,0.00359229940132288,0.0404113552849527,0.00215575212325326,0.000691934284009488,0.000691934284009488,0.00519096921782532,3.20696173986491,24.1581207645074
9,0.00369695219284006,-0.00255550663221205,-0.00255550663221205,0.00869236987924044,0.00326643765454727,-0.00159812461967973,-0.00159812461967973,0.00967502068256117,3.11767903962101,24.4701254822119
10,0.0110826245463149,0.0017700404914992,0.0017700404914992,0.0158893740704402,0.00244030924640176,-0.00188389021617436,-0.00188389021617436,0.00886503688205984,3.18638032896827,24.4495361521258
11,0.00532575760591735,0.00122177163666559,0.00122177163666559,0.0275210466117077,0.00177221288923081,-0.00141494460385255,-0.00141494460385255,0.00680948093407127,3.15096542622156,26.3607485544783
12,0.00335120441717686,0.00196633496563181,0.00196633496563181,0.0102079072179055,0.0024225161508994,-0.00028204163382517,-0.00028204163382517,0.014522683616445,3.25508062206039,23.1468055062377
13,0.00944361197675969,3.53789900733315e-05,3.53789900733315e-05,0.00812001650177502,0.00297452251559972,-0.000174115797976382,-0.000174115797976382,0.00562449770330298,3.26445285416192,25.0795352898391
14,0.00712794177937228,-0.00582212383448844,-0.00582212383448844,0.0164499099001859,0.00442622068986678,-0.00337150287385718,-0.00337150287385718,0.00911620039430501,3.15593370414989,25.3196903078305
15,0.00337101550597691,-0.000558249431025226,-0.000558249431025226,0.0169864318315571,0.00180643277481082,-0.000408399642768731,-0.000408399642768731,0.0109460623521221,3.13303580505422,25.7033494270809
16,0.0101079753066514,-0.00550249890217791,-0.00550249890217791,0.00501356615142093,0.00571408006285144,0.0182026183843189,0.0182026183843189,0.00699906202240671,2.96081158226082,26.4367929566861
17,0.00651213449249189,-0.000355680530417901,-0.000355680530417901,0.0124537307170581,0.00429457893637512,0.000394589513333488,0.000394589513333488,0.00671202982380484,3.07680024337872,25.2830236454918
18,0.00617287482012817,0.000808813571617994,0.000808813571617994,0.0110890214226051,0.00268315812317662,0.00569737847069929,0.00569737847069929,0.00679467609949406,3.05430442048998,24.622023489038
19,0.00859962199684356,0.00339188332508766,0.00339188332508766,0.0256035197960089,0.00267121327848984,-0.000162220681056327,-0.000162220681056327,0.002810871224526,3.17544973643253,24.2755956081535
20,0.00288340851991524,-0.000958174967479852,-0.000958174967479852,0.0164196881479277,0.00694659115440895,-0.000812316985277506,-0.000812316985277506,0.00591811569088092,3.22096748475012,24.3915205833187
21,0.0119907784097971,0.0100656254034597,0.0100656254034597,0.0905241750061928,0.00416146055262846,-0.00190303334037883,-0.00190303334037883,0.00721946407088736,2.97024780761274,23.4010633068841
22,0.00593436679050449,0.0207328357863321,0.0207328357863321,0.0138601164252429,0.00264036451281341,0.000228925406661029,0.000228925406661029,0.00950709357092577,3.2070743317842,23.6143499641734
23,0.00252997804459635,0.000306686826119118,0.000306686826119118,0.0121970402790394,0.00158605186849986,-0.000105800918115073,-0.000105800918115073,0.00420407481345313,3.33703396122133,25.2534367720717
24,0.00443190769135543,-0.00201305086852877,-0.00201305086852877,0.0296060235384953,0.0029224386676392,-0.00149837275829995,-0.00149837275829995,0.00671816686231395,3.2406614949195,26.0556130293089
25,0.00596766054512215,0.00173185386410563,0.00173185386410563,0.00890404504737517,0.00287332688061334,-0.000490131107445918,-0.000490131107445918,0.00606018697148136,3.16601504696996,24.7304825796161
26,0.0173138114732124,-0.00235772398150969,-0.00235772398150969,0.0216049921486923,0.00490585671389852,-0.00129270293491129,-0.00129270293491129,0.00975661376348055,3.12143003428596,24.6277679874711
27,0.0194600400327971,0.039575262408619,0.039575262408619,0.018728484760856,0.00231971142167724,0.00827145526940071,0.00827145526940071,0.00742759089357584,3.11129193319319,24.6415730655651
28,0.0315678055418812,-0.000847535534112875,-0.000847535534112875,0.0220448062801477,0.00406074624629856,6.0616897114868e-05,6.0616897114868e-05,0.00431667706916076,3.26018086260872,26.0713304878355
29,0.00243906233828881,0.000977679466721559,0.000977679466721559,0.0144329030096341,0.00310890853622244,3.35662812290805e-05,3.35662812290805e-05,0.0170678517241202,3.19719506330867,25.1621380329814
30,0.00733171512825257,0.00742467484690934,0.00742467484690934,0.0405618837721483,0.00473254237626114,-0.000465697421801026,-0.000465697421801026,0.0153753207391334,3.11451094086433,24.0069464963712
31,0.0130918494164295,0.0148711155933854,0.0148711155933854,0.0722855519534087,0.00698951678512044,-0.0168704153764873,-0.0168704153764873,0.0143056630779435,2.8799744342754,24.0140496612033
32,0.00273005834688286,0.0230702568981725,0.0230702568981725,0.036810295781946,0.00266198739252869,-0.00220228478744583,-0.00220228478744583,0.0106168213587638,3.22465388285871,25.2726473098697
33,0.0171659668262626,0.00237424688279297,0.00237424688279297,0.0154230585044535,0.00502993843761137,0.000453051598628851,0.000453051598628851,0.0133674218592559,3.24460465898368,25.5091753431702
34,0.0053834891801348,0.000574382567871956,0.000574382567871956,0.015483118650688,0.00556026109970871,-0.000526380990195308,-0.000526380990195308,0.00537023629121142,3.09933010929476,25.228680228804
